Stock,Current Price,Previous Close,Volume,Market Cap,Day High,Day Low,52W High,52W Low,1M Return,3M Return,6M Return,RSI,SMA20,SMA50,MACD,ATR,Institutional Score,Confidence,Buy Probability,Composite Score,Trade Signal,Sector,Sector Rank,Sector Percentile,Market Leader,Relative Strength Score,Elite Stock
ALKEM.NS,5434.0,5470.0,27996,649716210000.0,5507.5,5422.5,5933.5,4716.2001953125,-4.61,-7.0,-3.9,47.75,5457.58,5423.07,12.52,144.29,50,47.5,45.12,47.54,AVOID,Unknown,26.0,76.74,NO,-5.04,NO
ASHOKLEY.NS,152.37,151.38,17480164,894999189407.3096,153.27999877929688,148.8000030517578,215.4199981689453,114.95999908447266,-13.73,-26.16,4.19,36.22,161.42,167.45,-5.23,5.45,50,47.5,45.12,47.54,AVOID,Unknown,26.0,76.74,NO,-10.29,NO
AARTIDRUGS.NS,381.4,378.35,157557,34810377442.93213,386.3999938964844,370.1000061035156,564.0499877929688,318.95001220703125,5.48,1.64,-14.18,54.98,378.93,361.67,2.47,13.59,50,47.5,45.12,47.54,AVOID,Unknown,26.0,76.74,NO,-3.54,NO
BOSCHLTD.NS,36895.0,37130.0,27818,1088167847800.0,37380.0,36370.0,41945.0,28610.0,-2.37,3.71,-0.42,53.23,36962.5,34548.7,502.67,1005.27,50,47.5,45.12,47.54,AVOID,Unknown,26.0,76.74,NO,0.23,NO
ANSALAPI.NS,4.34,4.42,7591,683137185.858078,4.449999809265137,4.340000152587891,5.96999979019165,2.8399999141693115,24.0,37.78,23.3,71.79,4.02,3.63,0.25,0.09,50,47.5,45.12,47.54,AVOID,Unknown,26.0,76.74,NO,27.85,NO
BPCL.NS,291.0,286.45,7417292,1243322198334.0,292.8999938964844,280.04998779296875,391.6499938964844,266.6000061035156,-8.5,-24.92,-18.04,44.57,299.24,300.64,-5.41,9.78,50,47.5,45.12,47.54,AVOID,Unknown,26.0,76.74,NO,-17.24,NO
BANKINDIA.NS,137.67,138.64,9383618,626765776776.0361,138.5500030517578,136.5,178.36000061035156,108.80999755859375,-8.12,-17.63,-6.8,40.96,141.9,145.55,-2.19,4.14,50,47.5,45.12,47.54,AVOID,Unknown,26.0,76.74,NO,-10.44,NO
BCG.NS,10.01,9.54,4752781,20205404410.732994,10.010000228881836,9.630000114440918,22.0,7.96999979019165,4.27,-29.46,-22.58,61.58,9.46,9.33,-0.01,0.34,50,47.5,45.12,47.54,AVOID,Unknown,26.0,76.74,NO,-16.59,NO
BEL.NS,412.35,422.95,22770767,3014187344753.4995,420.0,407.0,473.45001220703125,361.20001220703125,-8.67,-5.36,-2.1,36.17,432.06,435.21,-4.66,10.99,50,47.5,45.12,47.54,AVOID,Unknown,26.0,76.74,NO,-5.05,NO
BANKA.NS,83.5,83.64,5701,907996284.5,83.5,81.97000122070312,97.87999725341797,41.0,14.54,37.65,9.31,64.48,80.38,65.7,4.78,2.89,50,47.5,45.12,47.54,AVOID,Unknown,26.0,76.74,NO,19.38,NO
AILIMITED.NS,42.0,42.0,0,566027580.0,0.0,0.0,85.8499984741211,23.75,11.41,76.84,-11.58,57.79,41.94,40.15,1.14,0.59,50,47.5,45.12,47.54,AVOID,Unknown,26.0,76.74,NO,21.84,NO
